"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"241","Chris Butler","STL","D","34","1986-10-27","St. Louis","MO","USA","USA","73","196","2005","BUF","4","5","96"
"111","Chris Higgins","VAN","L","37","1983-06-02","Smithtown","NY","USA","USA","72","205","2002","MTL","1","14","14"
"39","Chris Kelly","ANA, BOS, OTT","C","40","1980-11-11","Toronto","ON","CAN","CAN","72","190","1999","OTT","3","28","94"
"476","Chris Kreider","NYR","C, L","29","1991-04-30","Boxford","MA","USA","USA","75","217","2009","NYR","1","19","19"
"118","Chris Kunitz","PIT, T.B","L","41","1979-09-26","Regina","SK","CAN","CAN","72","188","-","-","-","-","-"
"32","Chris Neil","OTT","R","41","1979-06-18","Flesherton","ON","CAN","CAN","73","209","1998","OTT","6","16","161"
"162","Chris Porter","MIN","L","36","1984-05-29","Toronto","ON","CAN","CAN","73","206","2003","CHI","9","21","282"
"279","Chris Stewart","ANA, CGY, MIN","R","33","1987-10-30","Toronto","ON","CAN","CAN","74","242","2006","COL","1","18","18"
"303","Chris Summers","NYR","D","33","1988-02-05","Ann Arbor","MI","USA","USA","74","207","2006","PHX","1","29","29"
"335","Chris Terry","CAR, MTL","L","31","1989-04-07","Brampton","ON","CAN","CAN","70","191","2007","CAR","5","11","132"
"73","Chris Thorburn","STL, WPG","R","37","1983-06-03","Sault Ste. Marie","ON","CAN","CAN","75","235","2001","BUF","2","20","50"
"815","Chris Tierney","S.J","C","26","1994-07-01","Keswick","ON","CAN","CAN","73","204","2012","S.J","2","25","55"
"242","Chris VandeVelde","PHI","C","34","1987-03-15","Moorhead","MN","USA","USA","74","190","2005","EDM","4","6","97"
"583","Chris Wagner","ANA, COL, NYI","C, R","29","1991-05-27","Walpole","MA","USA","USA","72","197","2010","ANA","5","2","122"
"499","Chris Wideman","OTT","D","31","1990-01-07","St. Louis","MO","USA","USA","70","190","2009","OTT","4","9","100"
"852","Christian Djoos","WSH","D","26","1994-08-06","Gothenburg","","SWE","SWE","72","180","2012","WSH","7","14","195"
"1019","Christian Dvorak","ARI","C, L","25","1996-02-02","Palos","IL","USA","USA","72","195","2014","ARI","2","28","58"
"79","Christian Ehrhoff","CHI, L.A","D","38","1982-07-06","Moers","","DEU","DEU","74","201","2001","S.J","4","10","106"
"1071","Christian Fischer","ARI","R","23","1997-04-15","Chicago","IL","USA","USA","74","214","2015","ARI","2","2","32"
"968","Christian Folin","L.A, MIN","D","30","1991-02-09","Gothenburg","","SWE","SWE","75","204","-","-","-","-","-"
"1117","Christian Jaros","OTT","D","24","1996-04-02","Kosice","","SVK","SVK","75","222","2015","OTT","5","18","139"
"560","Christian Thomas","ARI, MTL","L","28","1992-05-26","Toronto","ON","CAN","CAN","69","175","2010","NYR","2","10","40"
"1114","Christian Wolanin","OTT","D","26","1995-03-17","Quebec City","QC","CAN","CAN","74","190","2015","OTT","4","16","107"
"843","Christoph Bertschy","MIN","C","26","1994-04-05","Fribourg","","CHE","CHE","70","185","2012","MIN","6","7","158"
"325","Christopher DiDomenico","OTT","C, L","32","1989-02-20","Toronto","ON","CAN","CAN","71","174","2007","TOR","6","13","164"
"541","Christopher Tanev","VAN","D","31","1989-12-20","Toronto","ON","CAN","CAN","74","197","-","-","-","-","-"
"146","Clarke MacArthur","OTT","L","35","1985-04-06","Lloydminster","AB","CAN","CAN","72","192","2003","BUF","3","6","74"
"283","Claude Giroux","PHI","C, R","33","1988-01-12","Hearst","ON","CAN","CAN","71","185","2006","PHI","1","22","22"
"1140","Clayton Keller","ARI","C","22","1998-07-29","Chesterfield","MO","USA","USA","70","170","2016","ARI","1","7","7"
"164","Clayton Stoner","ANA","D","36","1985-02-19","Port McNeill","BC","CAN","CAN","76","216","2004","MIN","3","14","79"
"240","Cody Bass","NSH","C","34","1987-01-07","Owen sound","ON","CAN","CAN","72","205","2005","OTT","4","4","95"
"791","Cody Ceci","OTT","D","27","1993-12-21","Ottawa","ON","CAN","CAN","74","210","2012","OTT","1","15","15"
"503","Cody Eakin","DAL, VGK","C","29","1991-05-24","Winnipeg","MB","CAN","CAN","72","196","2009","WSH","3","24","85"
"237","Cody Franson","BUF, CHI","D","33","1987-08-08","Sicamous","BC","CAN","CAN","77","224","2005","NSH","3","18","79"
"398","Cody Goloubef","CBJ, COL","D","31","1989-11-30","Mississauga","ON","CAN","CAN","73","190","2008","CBJ","2","7","37"
"385","Cody Hodgson","NSH","C","31","1990-02-18","Toronto","ON","CAN","CAN","72","191","2008","VAN","1","10","10"
"210","Cody McLeod","COL, NSH, NYR","L","36","1984-06-26","Binscarth","MB","CAN","CAN","74","204","-","-","-","-","-"
"953","Colby Cave","BOS","C","26","1994-12-26","Battleford","SK","CAN","CAN","73","200","-","-","-","-","-"
"758","Cole Schneider","BUF","L","30","1990-08-26","Williamsville","NY","USA","USA","73","199","-","-","-","-","-"
"252","Colin Greening","OTT, TOR","C","35","1986-03-09","St. John's","NL","CAN","CAN","74","210","2005","OTT","7","10","204"
"144","Colin McDonald","PHI","R","36","1984-09-30","Wethersfield","CT","USA","USA","74","219","2003","EDM","2","21","51"
"751","Colin Miller","BOS, VGK","D","28","1992-10-29","Sault Ste. Marie","ON","CAN","CAN","73","199","2012","L.A","5","30","151"
"1056","Colin White","OTT","C","24","1997-01-30","Boston","MA","USA","USA","72","197","2015","OTT","1","21","21"
"384","Colin Wilson","COL, NSH","C, L","31","1989-10-20","Greenwich","CT","USA","USA","73","215","2008","NSH","1","7","7"
"803","Colton Parayko","STL","D","27","1993-05-12","St. Albert","AB","CAN","CAN","78","230","2012","STL","3","25","86"
"348","Colton Sceviour","DAL, FLA","C","31","1989-04-20","Red Deer","AB","CAN","CAN","72","190","2007","DAL","4","21","112"
"820","Colton Sissons","NSH","C","27","1993-11-05","North Vancouver","BC","CAN","CAN","73","200","2012","NSH","2","20","50"
"554","Connor Brickley","FLA","C","29","1992-02-25","Everett","MA","USA","USA","72","203","2010","FLA","2","20","50"
"846","Connor Brown","TOR","R","27","1994-01-14","Toronto","ON","CAN","CAN","72","185","2012","TOR","6","5","156"
"823","Connor Carrick","TOR, WSH","D","26","1994-04-13","Orland Park","IL","USA","USA","70","192","2012","WSH","5","16","137"
"970","Connor Jones","NYI","C","30","1990-08-16","Montrose","BC","CAN","CAN","69","182","-","-","-","-","-"
"1058","Connor McDavid","EDM","C","24","1997-01-13","Richmond Hill","ON","CAN","CAN","73","193","2015","EDM","1","1","1"
"739","Connor Murphy","ARI, CHI","D","27","1993-03-26","Dublin","OH","USA","USA","76","212","2011","PHX","1","20","20"
"965","Conor Sheary","PIT","L","28","1992-06-08","Winchester","MA","USA","USA","68","178","-","-","-","-","-"
"509","Corban Knight","FLA","C","30","1990-09-10","Oliver","BC","CAN","CAN","74","195","2009","FLA","5","14","135"
"137","Corey Perry","ANA","R","35","1985-05-16","Peterborough","ON","CAN","CAN","75","206","2003","ANA","1","28","28"
"147","Corey Potter","NSH","D","37","1984-01-05","Lansing","MI","USA","USA","75","204","2003","NYR","4","21","122"
"353","Corey Tropp","ANA","R","31","1989-07-25","Grosse Pointe Woods","MI","USA","USA","72","192","2007","BUF","3","28","89"
"636","Cory Conacher","T.B","C","31","1989-12-14","Burlington","ON","CAN","CAN","68","185","-","-","-","-","-"
"528","Craig Cunningham","ARI","L","30","1990-09-13","Trail","BC","CAN","CAN","70","184","2010","BOS","4","7","97"
"498","Craig Smith","NSH","C, R","31","1989-09-05","Madison","WI","USA","USA","73","206","2009","NSH","4","7","98"
"946","Curtis Lazar","CGY, OTT","C","26","1995-02-02","Salmon Arm","BC","CAN","CAN","72","193","2013","OTT","1","17","17"
"519","Curtis McKenzie","DAL","L","30","1991-02-22","Golden","BC","CAN","CAN","74","205","2009","DAL","6","8","159"
"957","Curtis Valk","FLA","C","28","1993-02-08","Medicine Hat","AB","CAN","CAN","69","170","-","-","-","-","-"
"6","Dainius Zubrus","S.J","C","42","1978-06-16","Elektrenai","","LTU","LTU","77","225","1996","PHI","1","15","15"
"954","Dakota Mermis","ARI","D","27","1994-01-05","Alton","IL","USA","USA","72","196","-","-","-","-","-"
"417","Dale Weise","CHI, MTL, PHI","R","32","1988-08-05","Winnipeg","MB","CAN","CAN","74","196","2008","NYR","4","20","111"
"437","Dalton Prout","CBJ, N.J","D","31","1990-03-13","Kingsville","ON","CAN","CAN","75","215","2010","CBJ","6","4","154"
"818","Damon Severson","N.J","D","26","1994-08-07","Melville","SK","CAN","CAN","74","205","2012","N.J","2","30","60"
"19","Dan Boyle","NYR","D","44","1976-07-12","Ottawa","ON","CAN","CAN","71","194","-","-","-","-","-"
"257","Dan Girardi","NYR, T.B","D","36","1984-04-29","Welland","ON","CAN","CAN","73","212","-","-","-","-","-"
"66","Dan Hamhuis","DAL, VAN","D","38","1982-12-13","Smithers","BC","CAN","CAN","73","204","2001","NSH","1","12","12"
"1128","Dan Renouf","DET","D","26","1994-06-01","Pickering","ON","CAN","CAN","74","198","-","-","-","-","-"
"1047","Danick Martel","PHI","L","26","1994-12-12","Drummondville","QC","CAN","CAN","68","184","-","-","-","-","-"
"1199","Daniel Brickley","L.A","D","25","1995-03-30","SANDY","UT","USA","USA","75","203","-","-","-","-","-"
"972","Daniel Carr","MTL","L","29","1991-11-01","Sherwood Park","AB","CAN","CAN","72","186","-","-","-","-","-"
"683","Daniel Catenacci","BUF, NYR","C","28","1993-03-09","Richmond Hill","ON","CAN","CAN","70","193","2011","BUF","3","16","77"
"837","Daniel O'Regan","BUF, S.J","C","27","1994-01-30","Berlin","","DEU","USA","70","180","2012","S.J","5","17","138"
"109","Daniel Paille","NYR","L","36","1984-04-15","Welland","ON","CAN","CAN","73","188","2002","BUF","1","20","20"
"35","Daniel Sedin","VAN","L","40","1980-09-26","Ornskoldsvik","","SWE","SWE","73","190","1999","VAN","1","2","2"
"1084","Daniel Sprong","PIT","R","24","1997-03-17","Amsterdam","","NLD","NLD","72","200","2015","PIT","2","16","46"
"206","Daniel Winnik","MIN, TOR, WSH","L","36","1985-03-06","Toronto","ON","CAN","CAN","74","210","2004","PHX","9","7","265"
"863","Danny DeKeyser","DET","D","31","1990-03-07","Detroit","MI","USA","USA","75","190","-","-","-","-","-"
"1031","Danton Heinen","BOS","C","25","1995-07-05","Langley","BC","CAN","CAN","73","188","2014","BOS","4","26","116"
"936","Darnell Nurse","EDM","D","26","1995-02-04","Hamilton","ON","CAN","CAN","76","221","2013","EDM","1","7","7"
"529","Darren Archibald","VAN","R","31","1990-02-09","Newmarket","ON","CAN","CAN","75","210","-","-","-","-","-"
"668","Darren Dietz","MTL","D","27","1993-07-17","Medicine Hat","AB","CAN","CAN","73","201","2011","MTL","5","17","138"
"246","Darren Helm","DET","C, L","34","1987-01-21","St. Andrews","MB","CAN","CAN","72","192","2005","DET","5","7","132"
"179","Dave Bolland","FLA","C","34","1986-06-05","Mimico","ON","CAN","CAN","72","188","2004","CHI","2","2","32"
"540","Dave Dziurzynski","OTT","L","31","1989-10-06","Lloydminster","AB","CAN","CAN","75","224","-","-","-","-","-"
"145","David Backes","BOS, STL","R","36","1984-05-01","Minneapolis","MN","USA","USA","75","215","2003","STL","2","32","62"
"183","David Booth","DET","L","36","1984-11-24","Detroit","MI","USA","USA","72","212","2004","FLA","2","23","53"
"165","David Clarkson","CBJ","R","36","1984-03-31","Toronto","ON","CAN","CAN","72","207","-","-","-","-","-"
"258","David Desharnais","EDM, MTL, NYR","C","34","1986-09-14","Laurier-Station","QC","CAN","CAN","67","180","-","-","-","-","-"
"163","David Jones","CGY, MIN","R","36","1984-08-10","Guelph","ON","CAN","CAN","75","208","2003","COL","9","27","288"
"1185","David Kampf","CHI","C","26","1995-01-12","Chomutov","","CZE","CZE","74","188","-","-","-","-","-"
"187","David Krejci","BOS","C","34","1986-04-28","Sternberk","","CZE","CZE","72","188","2004","BOS","2","33","63"
"21","David Legwand","BUF","C","40","1980-08-17","Detroit","MI","USA","USA","74","207","1998","NSH","1","2","2"
"1005","David Pastrnak","BOS","R","24","1996-05-25","Havirov","","CZE","CZE","72","194","2014","BOS","1","25","25"
"350","David Perron","ANA, PIT, STL, VGK","L","32","1988-05-28","Sherbrooke","QC","CAN","CAN","72","200","2007","STL","1","26","26"
"475","David Rundblad","CHI","D","30","1990-10-08","Lycksele","","SWE","SWE","74","187","2009","STL","1","17","17"
"501","David Savard","CBJ","D","30","1990-10-22","St. Hyacinthe","QC","CAN","CAN","74","233","2009","CBJ","4","3","94"
"308","David Schlemko","MTL, N.J, S.J","D","33","1987-05-07","Edmonton","AB","CAN","CAN","73","191","-","-","-","-","-"
"415","David Warsofsky","COL, N.J, PIT","D","30","1990-05-30","Marshfield","MA","USA","USA","69","170","2008","STL","4","4","95"
"1108","Dean Kukan","CBJ","D","27","1993-07-08","Volketswil","","CHE","CHE","74","186","-","-","-","-","-"
"1093","Denis Gurianov","DAL","R","23","1997-06-07","Togliatti","","RUS","RUS","75","200","2015","DAL","1","12","12"
"1113","Denis Malgin","FLA","C","24","1997-01-18","Olten","","CHE","CHE","69","177","2015","FLA","4","11","102"
"973","Dennis Everberg","COL","R","29","1991-12-31","Vasteras","","SWE","SWE","76","205","-","-","-","-","-"
"979","Dennis Rasmussen","ANA, CHI","C","30","1990-07-03","Vasteras","","SWE","SWE","75","192","-","-","-","-","-"
"81","Dennis Seidenberg","BOS, NYI","D","39","1981-07-18","Schwenningen","","DEU","DEU","72","199","2001","PHI","6","7","172"
"89","Dennis Wideman","CGY","D","38","1983-03-20","Kitchener","ON","CAN","CAN","72","202","2002","BUF","8","12","241"
"268","Derek Dorsett","VAN","R","34","1986-12-20","Kindersley","SK","CAN","CAN","72","192","2006","CBJ","7","6","189"
"572","Derek Forbort","L.A","D","29","1992-03-04","Duluth","MN","USA","USA","76","219","2010","L.A","1","15","15"
"420","Derek Grant","ANA, BUF, CGY, NSH","C","30","1990-04-20","Abbotsford","BC","CAN","CAN","75","206","2008","OTT","4","28","119"
"40","Derek MacKenzie","FLA","C","39","1981-06-11","Sudbury","ON","CAN","CAN","71","177","1999","ATL","5","2","128"
"1111","Derek Ryan","CAR","C","34","1986-12-29","Spokane","WA","USA","USA","71","185","-","-","-","-","-"
"406","Derek Stepan","ARI, NYR","C","30","1990-06-18","Hastings","MN","USA","USA","72","196","2008","NYR","2","21","51"
"288","Derick Brassard","NYR, OTT, PIT","C","33","1987-09-22","Hull","QC","CAN","CAN","73","202","2006","CBJ","1","6","6"
"795","Derrick Pouliot","PIT, VAN","D","27","1994-01-16","Estevan","SK","CAN","CAN","72","196","2012","PIT","1","8","8"
"61","Deryk Engelland","CGY, VGK","D","38","1982-04-03","Edmonton","AB","CAN","CAN","74","212","2000","N.J","6","27","194"
"568","Devante Smith-Pelly","MTL, N.J, WSH","R","28","1992-06-14","Scarborough","ON","CAN","CAN","72","223","2010","ANA","2","12","42"
"219","Devin Setoguchi","L.A","R","34","1987-01-01","Taber","AB","CAN","CAN","72","205","2005","S.J","1","8","8"
"811","Devin Shore","DAL","C","26","1994-07-19","Ajax","ON","CAN","CAN","72","206","2012","DAL","2","31","61"
"919","Dillon Heatherington","DAL","D","25","1995-05-09","Calgary","AB","CAN","CAN","76","225","2013","CBJ","2","20","50"
"692","Dillon Simpson","EDM","D","28","1993-02-10","Edmonton","AB","CAN","CAN","74","204","2011","EDM","4","1","92"
"124","Dion Phaneuf","L.A, OTT, TOR","D","35","1985-04-10","Edmonton","AB","CAN","CAN","75","222","2003","CGY","1","9","9"
"705","Dmitrij Jaskin","STL","R","28","1993-03-23","Omsk","","RUS","CZE","74","216","2011","STL","2","11","41"
"472","Dmitry Kulikov","BUF, FLA, WPG","D","30","1990-10-29","Lipetsk","","RUS","RUS","73","204","2009","FLA","1","14","14"
"486","Dmitry Orlov","WSH","D","29","1991-07-23","Novokuznetsk","","RUS","RUS","71","211","2009","WSH","2","25","55"
"57","Dominic Moore","BOS, NYR, TOR","C","40","1980-08-03","Thornhill","ON","CAN","CAN","72","192","2000","NYR","3","30","95"
"826","Dominic Toninato","COL","C","27","1994-03-09","Duluth","MN","USA","USA","74","191","2012","TOR","5","5","126"
"1020","Dominic Turgeon","DET","C","25","1996-02-25","Pointe-Claire","QC","CAN","CAN","74","200","2014","DET","3","3","63"
"1116","Dominik Simon","PIT","C","26","1994-08-08","Prague","","CZE","CZE","71","190","2015","PIT","5","16","137"
"728","Dougie Hamilton","CGY","D","27","1993-06-17","Toronto","ON","CAN","CAN","78","229","2011","BOS","1","9","9"
"1155","Drake Caggiula","EDM","C, L","26","1994-06-20","Pickering","ON","CAN","CAN","70","176","-","-","-","-","-"
"379","Drew Doughty","L.A","D","31","1989-12-08","London","ON","CAN","CAN","73","202","2008","L.A","1","2","2"
"155","Drew Miller","DET","L","37","1984-02-17","Dover","NJ","USA","USA","74","183","2003","ANA","6","19","186"
"492","Drew Shore","CGY, VAN","C","30","1991-01-29","Denver","CO","USA","USA","75","205","2009","FLA","2","14","44"
"172","Drew Stafford","BOS, N.J, WPG","R","35","1985-10-30","Milwaukee","WI","USA","USA","74","215","2004","BUF","1","13","13"
"1044","Dryden Hunt","FLA","L","25","1995-11-24","Cranbrook","BC","CAN","CAN","72","193","-","-","-","-","-"
"112","Duncan Keith","CHI","D","37","1983-07-16","Winnipeg","MB","CAN","CAN","73","192","2002","CHI","2","24","54"
"730","Duncan Siemens","COL","D","27","1993-09-07","Edmonton","AB","CAN","CAN","75","210","2011","COL","1","11","11"
"126","Dustin Brown","L.A","L, R","36","1984-11-04","Ithaca","NY","USA","USA","72","210","2003","L.A","1","13","13"
"159","Dustin Byfuglien","WPG","D","35","1985-03-27","Roseau","MN","USA","USA","77","260","2003","CHI","8","16","245"
"356","Dustin Jeffrey","ARI","L","33","1988-02-27","Sarnia","ON","CAN","CAN","73","205","2007","PIT","6","20","171"
"349","Dwight King","L.A, MTL","L","31","1989-07-05","Meadow Lake","SK","CAN","CAN","76","229","2007","L.A","4","18","109"
"658","Dylan DeMelo","S.J","D","27","1993-05-01","London","ON","CAN","CAN","73","191","2011","S.J","6","28","179"
"1160","Dylan Gambrell","S.J","C","24","1996-08-26","Bonney Lake","WA","USA","USA","72","185","2016","S.J","2","30","60"
"996","Dylan Larkin","DET","C","24","1996-07-30","Waterford","MI","USA","USA","73","198","2014","DET","1","15","15"
"593","Dylan McIlrath","FLA, NYR","D","28","1992-04-20","Winnipeg","MB","CAN","CAN","77","231","2010","NYR","1","10","10"
"451","Dylan Olsen","FLA","D","30","1991-01-03","Salt Lake City","UT","USA","CAN","74","223","2009","CHI","1","28","28"
"1039","Dylan Sikura","CHI","R","25","1995-06-01","Aurora","ON","CAN","CAN","71","166","2014","CHI","6","28","178"
"1073","Dylan Strome","ARI","C","24","1997-03-07","Mississauga","ON","CAN","CAN","75","200","2015","ARI","1","3","3"
"1173","Eeli Tolvanen","NSH","R","21","1999-04-22","Vihti","","FIN","FIN","70","191","2017","NSH","1","30","30"
"934","Elias Lindholm","CAR","C","26","1994-12-02","Boden","","SWE","SWE","73","195","2013","CAR","1","5","5"
"579","Emerson Etem","ANA, NYR, VAN","L, R","28","1992-06-16","Long Beach","CA","USA","USA","73","212","2010","ANA","1","29","29"
"927","Emile Poirier","CGY","L","26","1994-12-14","Montreal","QC","CAN","CAN","74","196","2013","CGY","1","22","22"
"3","Eric Boulton","NYI","L","44","1976-08-17","Halifax","NS","CAN","CAN","72","227","1994","NYR","9","26","234"
"130","Eric Fehr","PIT, S.J, TOR","C","35","1985-09-07","Winkler","MB","CAN","CAN","76","209","2003","WSH","1","18","18"
"485","Eric Gelinas","COL, N.J","D","29","1991-05-08","Vanier","ON","CAN","CAN","76","215","2009","N.J","2","24","54"
"276","Eric Gryba","EDM","D","32","1988-04-14","Saskatoon","SK","CAN","CAN","76","222","2006","OTT","3","5","68"
"104","Eric Nystrom","NSH","L","38","1983-02-14","Syosset","NY","USA","USA","73","200","2002","CGY","1","10","10"
"1198","Eric Robinson","CBJ","L","25","1995-06-14","BELLMAWR","NJ","USA","USA","74","200","-","-","-","-","-"
"378","Eric Selleck","ARI","L","33","1987-10-20","Brockville","ON","CAN","CAN","74","208","-","-","-","-","-"
"119","Eric Staal","CAR, MIN, NYR","C","36","1984-10-29","Thunder Bay","ON","CAN","CAN","76","195","2003","CAR","1","2","2"
"328","Eric Tangradi","DET","L","32","1989-02-10","Philadelphia","PA","USA","USA","76","226","2007","ANA","2","12","42"
"625","Erik Burgdoerfer","BUF, OTT","D","32","1988-12-11","Abington","PA","USA","USA","73","207","-","-","-","-","-"
"302","Erik Condra","T.B","R","34","1986-08-06","Trenton","MI","USA","USA","71","185","2006","OTT","7","28","211"
"588","Erik Gudbranson","FLA, VAN","D","29","1992-01-07","Ottawa","ON","CAN","CAN","77","222","2010","FLA","1","3","3"
"835","Erik Gustafsson","CHI","D","29","1992-03-14","Nynashamn","","SWE","SWE","72","197","2012","EDM","4","2","93"
"515","Erik Haula","MIN, VGK","C, L","30","1991-03-23","Pori","","FIN","FIN","72","193","2009","MIN","7","1","182"
"270","Erik Johnson","COL","D","33","1988-03-21","Bloomington","MN","USA","USA","76","225","2006","STL","1","1","1"
"390","Erik Karlsson","OTT","D","30","1990-05-31","Landsbro","","SWE","SWE","72","190","2008","OTT","1","15","15"
"806","Esa Lindell","DAL","D","26","1994-05-23","Vantaa","","FIN","FIN","75","215","2012","DAL","3","13","74"
"1078","Ethan Bear","EDM","D","23","1997-06-26","Regina","SK","CAN","CAN","71","197","2015","EDM","5","3","124"
"858","Evan McEneny","VAN","D","26","1994-05-22","Hamilton","ON","CAN","CAN","74","203","-","-","-","-","-"
"1101","Evan Rodrigues","BUF","L","27","1993-07-28","Toronto","ON","CAN","CAN","71","184","-","-","-","-","-"
"463","Evander Kane","BUF, S.J","L","29","1991-08-02","Vancouver","BC","CAN","CAN","74","210","2009","ATL","1","4","4"
"168","Evgeni Malkin","PIT","C","34","1986-07-31","Magnitogorsk","","RUS","RUS","75","195","2004","PIT","1","2","2"
"359","Evgenii Dadonov","FLA","R","32","1989-03-12","Chelyabinsk","","RUS","RUS","71","185","2007","FLA","3","10","71"
"557","Evgeny Kuznetsov","WSH","C","28","1992-05-19","Chelyabinsk","","RUS","RUS","74","205","2010","WSH","1","26","26"
"1105","Evgeny Medvedev","PHI","D","38","1982-08-27","Chelyabinsk","","RUS","RUS","75","187","-","-","-","-","-"
"1070","Evgeny Svechnikov","DET","R","24","1996-10-31","Yuzhno-Sakhalinsk","","RUS","RUS","75","208","2015","DET","1","19","19"
"71","Fedor Tyutin","CBJ, COL","D","37","1983-07-19","Izhevsk","","RUS","RUS","74","221","2001","NYR","2","10","40"
"1090","Filip Chlapik","OTT","C","23","1997-06-03","Prague","","CZE","CZE","73","194","2015","OTT","2","18","48"
"1178","Filip Chytil","NYR","C","21","1999-09-05","Kromeriz","","CZE","CZE","74","206","2017","NYR","1","21","21"
"798","Filip Forsberg","NSH","L","26","1994-08-13","Ostervala","","SWE","SWE","73","205","2012","WSH","1","11","11"
"28","Francois Beauchemin","ANA, COL","D","40","1980-06-04","Sorel","QC","CAN","CAN","71","208","1998","MTL","3","17","75"
"650","Frank Corrado","PIT, TOR","D","27","1993-03-26","Toronto","ON","CAN","CAN","72","205","2011","VAN","5","29","150"
"1048","Frank Vatrano","BOS, FLA","C","27","1994-03-14","East Longmeadow","MA","USA","USA","69","197","-","-","-","-","-"
"98","Frans Nielsen","DET, NYI","C","36","1984-04-24","Herning","","DNK","DNK","73","186","2002","NYI","3","24","87"
"617","Freddie Hamilton","ARI, CGY","C","29","1992-01-01","Toronto","ON","CAN","CAN","73","195","2010","S.J","5","9","129"
"976","Frederick Gaudreau","NSH","C","27","1993-05-01","Bromont","QC","CAN","CAN","72","179","-","-","-","-","-"
"950","Frederik Gauthier","TOR","C","25","1995-04-26","Laval","QC","CAN","CAN","77","239","2013","TOR","1","21","21"
"664","Fredrik Claesson","OTT","D","28","1992-11-24","Stockholm","","SWE","SWE","73","196","2011","OTT","5","5","126"
"511","Gabriel Bourque","COL, NSH","L","30","1990-09-23","Rimouski","QC","CAN","CAN","70","206","2009","NSH","5","11","132"
"1096","Gabriel Carlsson","CBJ","D","24","1997-01-02","Orebro","","SWE","SWE","77","203","2015","CBJ","1","29","29"
"508","Gabriel Dumont","OTT, T.B","C","30","1990-10-06","Ville Degelis","QC","CAN","CAN","70","191","2009","MTL","5","18","139"
"721","Gabriel Landeskog","COL","L","28","1992-11-23","Stockholm","","SWE","SWE","73","215","2011","COL","1","2","2"
"974","Garnet Hathaway","CGY","R","29","1991-11-23","Kennebunkport","ME","USA","USA","74","212","-","-","-","-","-"
"516","Garrett Mitchell","WSH","R","29","1991-09-02","Regina","SK","CAN","CAN","71","198","2009","WSH","6","24","175"
"507","Garrett Wilson","FLA","L","30","1991-03-16","Barrie","ON","CAN","CAN","74","218","2009","FLA","4","16","107"
"831","Gemel Smith","DAL","C","26","1994-04-16","Toronto","ON","CAN","CAN","70","203","2012","DAL","4","13","104"
"1162","Giovanni Fiore","ANA","L","24","1996-08-13","Laval","QC","CAN","CAN","73","188","-","-","-","-","-"
"553","Greg McKegg","FLA, PIT, T.B","C","28","1992-06-17","St. Thomas","ON","CAN","CAN","72","194","2010","TOR","3","2","62"
"422","Greg Pateryn","DAL, MTL","D","30","1990-06-20","Sterling Heights","MI","USA","USA","75","212","2008","TOR","5","7","128"
"102","Gregory Campbell","CBJ","C","37","1983-12-17","London","ON","CAN","CAN","72","188","2002","FLA","3","4","67"
"1168","Griffen Molino","VAN","C","27","1994-01-21","Trenton","MI","USA","USA","71","171","-","-","-","-","-"
"773","Griffin Reinhart","EDM","D","27","1994-01-24","North Vancouver","BC","CAN","CAN","76","212","2012","NYI","1","4","4"
"1032","Gustav Forsling","CHI","D","24","1996-06-12","Linkoping","","SWE","SWE","72","186","2014","VAN","5","6","126"
"419","Gustav Nyquist","DET","C, R","31","1989-09-01","Halmstad","","SWE","SWE","71","180","2008","DET","4","30","121"
"918","Gustav Olofsson","MIN","D","26","1994-12-01","Boras","","SWE","SWE","75","199","2013","MIN","2","16","46"
"775","Hampus Lindholm","ANA","D","27","1994-01-20","Helsingborg","","SWE","SWE","75","208","2012","ANA","1","6","6"
"631","Harry Zolnierczyk","ANA, NSH","L","33","1987-09-01","Toronto","ON","CAN","CAN","71","180","-","-","-","-","-"
"988","Haydn Fleury","CAR","D","24","1996-07-08","Carlyle","SK","CAN","CAN","75","208","2014","CAR","1","7","7"
"1148","Henrik Borgstrom","FLA","C","23","1997-08-06","Helsinki","","FIN","FIN","75","199","2016","FLA","1","23","23"
"1192","Henrik Haapala","FLA","L","27","1994-02-28","Lempaala","","FIN","FIN","69","165","-","-","-","-","-"
"36","Henrik Sedin","VAN","C","40","1980-09-26","Ornskoldsvik","","SWE","SWE","74","183","1999","VAN","1","3","3"
"41","Henrik Zetterberg","DET","C, L","40","1980-10-09","Njurunda","","SWE","SWE","72","197","1999","DET","7","24","210"
"881","Hudson Fasching","BUF","R","25","1995-07-28","Milwaukee","WI","USA","USA","75","204","2013","L.A","4","27","118"
"899","Hunter Shinkaruk","CGY, VAN","C","26","1994-10-13","Calgary","AB","CAN","CAN","70","181","2013","VAN","1","24","24"
"324","Ian Cole","CBJ, PIT","D","32","1989-02-21","Ann Arbor","MI","USA","USA","73","225","2007","STL","1","18","18"
"906","Ian McCoshen","FLA","D","25","1995-08-05","Anaheim","CA","USA","USA","75","210","2013","FLA","2","1","31"
"659","Iiro Pakarinen","EDM","R","29","1991-08-25","Loviisa","","FIN","FIN","73","212","2011","FLA","7","3","184"
